45943		-1	30	595.8151
515044		11	60	718.36443
5833879		-2	60	559.0463
6757636		-2	64	500.40876
8192104		-5	55	599.3263
10931148	5	69	512.287
14987704	-9	23	632.57152
17354276	-9	2	508.7644
18132575	12	56	534.748
18422577	-7	36	738.432032
23582373	2	62	584.3245
25573163	2	10	527.4228
27397041	12	50	507.8726
29566856	3	71	626.31179
33156971	-9	36	962.449769
34838197	3	2	761.0786
38641952	1	70	541.646
40828970	2	24	631.078999958495
42833298	-3	17	648.8754
43860827	-3	17	560.4875
46230356	1	62	502.297
48203924	8	34	889.701999999884
48481890	-4	72	623.229999804037
57201099	19	17	717.944
60491142	-3	30	701.5673
67323211	-1	17	576.9644
70369967	-2	31	540.7232
72236640	7	48	706.2523
77620580	-2	70	574.9281
79718005	6	47	554.8217
88106584	7	41	508.13755
88509400	4	48	735.152999523215
91862482	6	9	530.76
92418293	1	69	825.336999841878
92554099	-5	60	623.1039
96029934	1	4	507.0439
97042341	7	28	650.53438
97873294	4	4	530.1308
98642671	10	72	509.56557
106625618	-1	69	505.0545
108278012	-2	60	846.6697
113094618	1	29	679.33987
113573574	-8	71	546.24539
114943220	-4	4	660.699893
116299850	2	6	526.131
116480699	7	2	511.35296
120507328	1	32	586.5593
123916626	-3	37	518.323999989743
125728849	3	21	544.36131
128159910	1	19	523.7672
134638920	8	35	557.81265
135980890	8	37	554.4705
136846003	-4	7	752.62382
146536954	-4	27	744.0911
148614835	-1	37	534.227
152579052	-1	9	910.568
153199345	-3	27	823.12957
157358408	-3	35	549.834
158682510	12	4	523.024
160276833	5	7	747.64339
161409663	3	17	514.6138
163635753	9	27	658.50182
164006781	-1	69	541.3661
166435249	-11	23	548.7053
166619116	-2	31	504.2913
167889315	-3	58	746.40727
170770600	-2	60	511.4107
174047117	21	49	979.59799560055
174808935	-6	5	524.2835
176162019	18	52	981.8477745
176516437	1	10	565.0171
177836422	15	70	740.074046
178745983	1	21	731.479999994111
179471222	-3	11	607.18003
180766177	4	32	549.0426
182044891	3	45	506.1411
186059026	-4	13	585.267999638624
187616286	-7	51	503.97432
189085935	6	61	577.255999479078
191955402	4	72	631.194
194564044	19	17	976.094
194622280	-3	19	532.7998
196009739	-3	5	520.8419
199971826	-2	64	504.22715
204248416	-11	13	753.113368
204492181	-1	7	701.545
206079715	-11	2	530.7533
207919907	3	62	596.5897
212410712	19	17	931.75
214518735	6	18	562.2324494
215766378	-2	70	577.104999789568
219548382	-3	2	651.1532
221859414	-4	27	901.8191
224097803	8	72	681.8563
224541415	-7	66	500.601999176236
225163268	1	30	533.8895
233144421	6	29	537.838
233294338	-3	39	519.75499871878
234732266	19	17	1156.377
237222083	-7	68	534.387999384567
237419156	6	3	571.9204
244538958	-8	60	740.7269165
253346980	5	9	899.1697
256790988	2	63	548.387
257287582	-6	54	736.678436
261252731	-1	65	548.4019893259
261456525	4	26	626.7591
261794573	-1	20	520.9026
265064057	19	17	768.291
266572722	-2	54	588.602
269043031	-1	21	573.823999683442
273178175	1	8	548.02599824707
277686867	-16	2	690.83474
278314291	-13	69	629.58902
278404546	5	64	678.8206
285329071	-1	2	794.0143
286944815	19	30	1742.331
293568074	16	47	632.79477
297033038	19	17	708.639
297282222	3	4	1135.374
299045179	5	17	867.0263
305703273	1	23	641.9961
313540717	-1	17	578.8735
318541562	2	31	632.612
323647967	10	35	746.91249
325372792	4	43	821.7572
327857552	5	71	604.86311
329196804	-6	53	540.4558
330764836	2	72	563.7344
332207801	11	62	870.6029
332320938	-11	41	541.941406
332796231	-6	29	651.605567
333130128	-8	19	522.87862
334363827	-10	31	931.26554
335571872	-7	17	536.5703
336946196	-6	63	571.02701
339883743	-3	65	633.1605
341723562	1	64	540.3792
342303927	-4	3	640.90699591328
345489640	-16	5	591.479
347412684	1	43	545.554
348532322	-4	21	581.2511
349952812	-6	60	637.9968
353179190	-2	49	528.2872
355354543	2	10	737.8459
359078542	-6	55	594.7708
362591024	-4	31	516.9682
363477364	-2	65	825.69799885447
366538157	-7	18	650.1307564
367886709	-6	40	516.7375
367984406	-13	2	716.16352
368106041	-11	60	668.12373
372856381	-3	2	556.9671
373629013	1	29	525.279
376566042	-12	22	564.17734
378274044	-1	31	588.2548
378854565	-26	67	1257.607
379446902	-6	60	887.7888
382002624	19	30	1464.534
382507486	5	69	521.2717
383632297	-2	9	739.3494
385805218	20	30	1966.553
388470336	-10	7	622.67308
388762702	19	30	1196.643
399378968	10	15	674.4515
401875889	-7	52	624.95202
401984940	19	30	1095.149
